Drug1	Drug2
DB00526	DB00264
DB00526	DB01001
DB00526	DB01142
DB00526	DB00404
DB00526	DB00641
DB00526	DB00650
DB00526	DB00215
DB00526	DB00468
DB00526	DB00783
DB00526	DB00584
DB00526	DB00715
DB00526	DB00695
DB00526	DB00316
DB00526	DB01101
DB00526	DB01190
DB00526	DB00370
DB00526	DB00227
DB00526	DB00575
DB00526	DB00257
DB00526	DB01126
DB00526	DB00317
DB00526	DB00678
DB00526	DB00904
DB00526	DB01067
DB00526	DB01029
DB00526	DB00421
DB00526	DB00451
DB00526	DB00470
DB00526	DB00178
DB00526	DB01254
DB00526	DB01016
DB00526	DB00863
DB00526	DB00987
DB00526	DB00188
DB00526	DB01216
DB00526	DB00501
DB00526	DB00878
DB00526	DB00433
DB00458	DB00945
DB00458	DB00996
DB00458	DB00213
DB00458	DB01212
DB00458	DB00709
DB00458	DB00697
DB00458	DB00181
DB00458	DB00268
DB00458	DB01193
DB00458	DB01204
DB00458	DB01248
DB00458	DB00555
DB00458	DB01197
DB00458	DB01115
DB00458	DB00341
DB00458	DB00571
DB00458	DB00635
DB00458	DB00455
DB00458	DB01009
DB00458	DB00710
DB00458	DB01224
DB00458	DB00924
DB00458	DB00472
DB00458	DB01233
DB00458	DB00295
DB00458	DB01137
DB00458	DB00999
DB00458	DB00577
DB00458	DB00586
DB00458	DB00580
DB00458	DB00335
DB00458	DB00363
DB00458	DB00343
DB00458	DB01162
DB00458	DB00661
DB00458	DB00630
DB00458	DB00787
DB00458	DB00512
DB00458	DB00422
DB00458	DB00222
DB00458	DB00231
DB00458	DB00373
DB00458	DB00860
DB00458	DB00563
DB00458	DB01036
DB00458	DB01076
DB00458	DB00381
DB00458	DB00590
DB00458	DB00203
DB00458	DB00252
DB00458	DB00338
DB00458	DB00921
DB00458	DB00627
DB00458	DB00927
DB00458	DB01129
DB00458	DB00285
DB00458	DB00583
DB00458	DB01273
DB00458	DB00850
DB00458	DB00654
DB00458	DB00916
DB00458	DB00537
DB00458	DB01149
DB00458	DB00829
DB00458	DB00533
DB00458	DB00883
DB00458	DB00193
DB00458	DB01156
DB00458	DB00818
DB00458	DB00884
DB00458	DB00230
DB00458	DB00208
DB00458	DB00497
DB00458	DB00991
DB00458	DB01085
DB00458	DB01083
DB00458	DB00196
DB00458	DB00620
DB00458	DB00564
DB00458	DB01050
DB00458	DB00351
DB00458	DB00727
DB00458	DB00402
DB00458	DB00425
DB00458	DB01202
DB00458	DB00745
DB00458	DB01020
DB00458	DB00477
DB00458	DB00407
DB00458	DB01222
DB00458	DB01211
DB00458	DB00557
DB00458	DB00603
DB00458	DB00734
DB00458	DB00806
DB00458	DB00461
DB00458	DB01260
DB00458	DB00313
DB00458	DB00887
DB00458	DB01136
DB00458	DB00443
DB00458	DB00310
DB00458	DB00813
DB00458	DB00549
DB00458	DB00484
DB00458	DB00482
DB00458	DB00481
DB00458	DB01079
DB00458	DB00567
DB00458	DB00749
DB00458	DB00804
DB00458	DB01062
DB00458	DB01242
DB00458	DB00881
DB00458	DB00186
DB00458	DB00490
DB00458	DB00675
DB00458	DB00843
DB00458	DB00332
DB00458	DB00989
DB00458	DB00334
DB00458	DB00912
DB00458	DB01069
DB00458	DB00175
DB00458	DB00973
DB00458	DB00395
DB00458	DB00503
DB00458	DB00158
DB00458	DB00502
DB00458	DB01132
DB00458	DB00448
DB00458	DB01068
DB00458	DB00796
DB00458	DB01043
DB00458	DB00495
DB00458	DB00795
DB00458	DB00136
DB00458	DB00966
DB00458	DB00399
DB00458	DB00331
DB00458	DB00423
DB00458	DB00950
DB00458	DB00191
DB00458	DB01104
DB00458	DB00758
DB00458	DB00390
DB00458	DB00177
DB00458	DB01023
DB00458	DB01039
DB00458	DB00722
DB00458	DB00958
DB00458	DB00328
DB00458	DB00264
DB00458	DB01001
DB00458	DB01142
DB00458	DB00404
DB00458	DB00641
DB00458	DB00215
DB00458	DB01611
DB00458	DB00783
DB00458	DB00584
DB00458	DB00715
DB00458	DB00695
DB00458	DB00316
DB00458	DB01006
DB00458	DB00370
DB00458	DB00227
DB00458	DB00575
DB00458	DB00794
DB00458	DB00737
DB00458	DB00678
DB00458	DB00904
DB00458	DB01041
DB00458	DB01029
DB00458	DB01238
DB00458	DB00656
DB00458	DB00421
DB00458	DB00451
DB00458	DB00178
DB00458	DB00863
DB00458	DB00523
DB00458	DB00433
DB00458	DB00273
DB00996	DB00945
DB00996	DB00526
DB00996	DB00458
DB00996	DB00454
DB00996	DB00952
DB00996	DB00213
DB00996	DB00492
DB00996	DB01212
DB00996	DB00398
DB00996	DB00709
DB00996	DB00697
DB00996	DB00853
DB00996	DB01413
DB00996	DB00440
DB00996	DB00181
DB00996	DB01195
DB00996	DB00250
DB00996	DB01004
DB00996	DB01033
DB00996	DB00582
DB00996	DB00268
DB00996	DB01193
DB00996	DB01204
DB00996	DB01248
DB00996	DB00555
DB00996	DB00862
DB00996	DB00990
DB00996	DB01236
DB00996	DB00204
DB00996	DB00542
DB00996	DB01197
DB00996	DB00953
DB00996	DB01115
DB00996	DB00341
DB00996	DB00394
DB00996	DB00243
DB00996	DB02300
DB00996	DB00571
DB00996	DB00530
DB00996	DB00635
DB00996	DB00441
DB00996	DB01026
DB00996	DB00275
DB00996	DB00681
DB00996	DB00424
DB00996	DB00455
DB00996	DB01009
DB00996	DB00710
DB00996	DB01224
DB00996	DB00346
DB00996	DB00601
DB00996	DB00924
DB00996	DB01019
DB00996	DB00540
DB00996	DB00218
DB00996	DB00559
DB00996	DB00975
DB00996	DB00248
DB00996	DB00472
DB00996	DB00321
DB00996	DB00413
DB00996	DB00410
DB00996	DB00244
DB00996	DB01233
DB00996	DB00295
DB00996	DB01137
DB00996	DB00182
DB00996	DB00642
DB00996	DB00999
DB00996	DB00577
DB00996	DB00742
DB00996	DB00586
DB00996	DB00580
DB00996	DB00798
DB00996	DB00426
DB00996	DB00970
DB00996	DB00649
DB00996	DB00993
DB00996	DB01327
DB00996	DB00335
DB00996	DB00967
DB00996	DB00363
DB00996	DB00531
DB00996	DB00864
DB00996	DB00343
DB00996	DB00757
DB00996	DB01162
DB00996	DB00180
DB00996	DB00350
DB00996	DB00661
DB00996	DB00630
DB00996	DB00787
DB00996	DB00512
DB00996	DB00422
DB00996	DB01140
DB00996	DB00598
DB00996	DB00673
DB00996	DB00222
DB00996	DB06700
DB00996	DB00612
DB00996	DB00836
DB00996	DB00624
DB00996	DB00153
DB00996	DB00231
DB00996	DB00373
DB00996	DB00860
DB00996	DB00585
DB00996	DB00563
DB00996	DB01036
DB00996	DB01048
DB00996	DB01203
DB00996	DB01291
DB00996	DB01076
DB00996	DB00361
DB00996	DB00194
DB00996	DB00381
DB00996	DB00808
DB00996	DB00590
DB00996	DB00203
DB00996	DB00262
DB00996	DB00252
DB00996	DB00338
DB00996	DB00861
DB00996	DB00921
DB00996	DB00802
DB00996	DB00627
DB00996	DB01151
DB00996	DB00450
DB00996	DB00969
DB00996	DB01240
DB00996	DB01267
DB00996	DB00927
DB00996	DB00962
DB00996	DB00270
DB00996	DB00698
DB00996	DB01129
DB00996	DB00327
DB00996	DB00674
DB00996	DB00820
DB00996	DB01114
DB00996	DB00285
DB00996	DB00762
DB00996	DB00583
DB00996	DB01273
DB00996	DB00654
DB00996	DB00916
DB00996	DB00537
DB00996	DB00833
DB00996	DB01149
DB00996	DB00741
DB00996	DB00658
DB00996	DB00829
DB00996	DB00533
DB00996	DB00883
DB00996	DB01077
DB00996	DB00193
DB00996	DB01156
DB00996	DB00818
DB00996	DB01127
DB00996	DB01586
DB00996	DB00884
DB00996	DB00747
DB00996	DB00889
DB00996	DB00842
DB00996	DB00770
DB00996	DB00623
DB00996	DB00819
DB00996	DB00230
DB00996	DB00497
DB00996	DB00811
DB00996	DB00991
DB00996	DB02379
DB00996	DB01623
DB00996	DB01085
DB00996	DB00489
DB00996	DB01083
DB00996	DB00493
DB00996	DB00196
DB00996	DB00445
DB00996	DB00620
DB00996	DB00371
DB00996	DB00564
DB00996	DB01217
DB00996	DB00115
DB00996	DB00959
DB00996	DB00763
DB00996	DB00209
DB00996	DB01050
DB00996	DB00277
DB00996	DB01060
DB00996	DB00465
DB00996	DB00625
DB00996	DB00906
DB00996	DB00351
DB00996	DB01215
DB00996	DB01167
DB00996	DB00727
DB00996	DB01047
DB00996	DB00402
DB00996	DB01118
DB00996	DB00425
DB00996	DB01128
DB00996	DB01202
DB00996	DB00869
DB00996	DB00745
DB00996	DB01020
DB00996	DB00947
DB00996	DB00545
DB00996	DB01181
DB00996	DB00477
DB00996	DB00951
DB00996	DB00407
DB00996	DB00377
DB00996	DB01229
DB00996	DB00297
DB00996	DB01045
DB00996	DB01222
DB00996	DB00284
DB00996	DB00199
DB00996	DB00619
DB00996	DB00281
DB00996	DB00330
DB00996	DB01211
DB00996	DB00315
DB00996	DB00401
DB00996	DB01610
DB00996	DB00557
DB00996	DB00603
DB00996	DB00790
DB00996	DB00690
DB00996	DB00214
DB00996	DB00480
DB00996	DB01005
DB00996	DB00207
DB00996	DB00909
DB00996	DB00773
DB00996	DB00535
DB00996	DB00900
DB00996	DB00734
DB00996	DB00806
DB00996	DB00611
DB00996	DB01173
DB00996	DB00544
DB00996	DB00461
DB00996	DB00279
DB00996	DB00238
DB00996	DB00313
DB00996	DB00541
DB00996	DB00887
DB00996	DB01095
DB00996	DB01112
DB00996	DB01136
DB00996	DB00443
DB00996	DB00310
DB00996	DB00438
DB00996	DB01044
DB00996	DB00983
DB00996	DB01150
DB00996	DB00813
DB00996	DB00549
DB00996	DB00484
DB00996	DB00482
DB00996	DB00356
DB00996	DB00481
DB00996	DB01079
DB00996	DB00780
DB00996	DB00567
DB00996	DB00333
DB00996	DB00749
DB00996	DB00804
DB00996	DB01062
DB00996	DB00669
DB00996	DB00874
DB00996	DB01242
DB00996	DB01241
DB00996	DB00881
DB00996	DB00186
DB00996	DB04441
DB00996	DB00184
DB00996	DB00490
DB00996	DB00675
DB00996	DB00843
DB00996	DB00524
DB00996	DB00332
DB00996	DB00989
DB00996	DB00334
DB00996	DB00912
DB00996	DB01069
DB00996	DB00175
DB00996	DB00374
DB00996	DB00973
DB00996	DB00395
DB00996	DB00494
DB00996	DB00503
DB00996	DB00475
DB00996	DB01232
DB00996	DB00158
DB00996	DB00502
DB00996	DB01132
DB00996	DB00938
DB00996	DB00448
DB00996	DB01097
DB00996	DB00496
DB00996	DB01068
DB00996	DB00796
DB00996	DB01043
DB00996	DB00495
DB00996	DB01037
DB00996	DB00795
DB00996	DB00136
DB00996	DB00966
DB00996	DB00399
DB00996	DB00331
DB00996	DB00423
DB00996	DB00538
DB00996	DB06151
DB00996	DB00950
DB00996	DB00605
DB00996	DB00191
DB00996	DB01104
DB00996	DB00758
DB00996	DB00390
DB00996	DB00177
DB00996	DB00320
DB00996	DB01023
DB00996	DB01039
DB00996	DB00722
DB00996	DB00958
DB00996	DB00915
DB00996	DB00176
DB00996	DB00776
DB00996	DB00328
DB00996	DB00897
DB00996	DB00668
DB00996	DB00264
DB00996	DB00753
DB00996	DB01001
DB00996	DB00396
DB00996	DB01142
DB00996	DB00404
DB00996	DB01072
DB00996	DB00291
DB00996	DB00446
DB00996	DB00641
DB00996	DB00650
DB00996	DB00215
DB00996	DB00216
DB00996	DB00972
DB00996	DB01611
DB00996	DB00468
DB00996	DB00783
DB00996	DB00584
DB00996	DB00715
DB00996	DB00695
DB00996	DB00316
DB00996	DB01101
DB00996	DB01006
DB00996	DB01190
DB00996	DB00370
DB00996	DB00227
DB00996	DB00225
DB00996	DB00575
DB00996	DB01609
DB00996	DB00794
DB00996	DB00737
DB00996	DB00257
DB00996	DB01219
DB00996	DB00877
DB00996	DB01126
DB00996	DB00317
DB00996	DB00678
DB00996	DB00904
DB00996	DB01067
DB00996	DB01041
DB00996	DB00485
DB00996	DB01029
DB00996	DB01238
DB00996	DB01577
DB00996	DB00367
DB00996	DB00339
DB00996	DB00656
DB00996	DB01117
DB00996	DB01188
DB00996	DB00421
DB00996	DB01264
DB00996	DB00930
DB00996	DB00451
DB00996	DB00684
DB00996	DB00470
DB00996	DB00178
DB00996	DB00857
DB00996	DB01016
DB00996	DB00918
DB00996	DB00863
DB00996	DB00987
DB00996	DB00188
DB00996	DB00523
DB00996	DB01216
DB00996	DB00501
DB00996	DB00878
DB00996	DB00433
DB00996	DB00273
DB00454	DB00945
DB00454	DB00996
DB00454	DB00213
DB00454	DB01212
DB00454	DB00697
DB00454	DB01413
DB00454	DB01033
DB00454	DB01204
DB00454	DB01248
DB00454	DB00555
DB00454	DB01236
DB00454	DB00341
DB00454	DB00571
DB00454	DB00635
DB00454	DB00275
DB00454	DB00681
DB00454	DB00424
DB00454	DB00455
DB00454	DB01224
DB00454	DB00601
DB00454	DB00924
DB00454	DB00540
DB00454	DB00218
DB00454	DB00472
DB00454	DB00321
DB00454	DB01233
DB00454	DB00295
DB00454	DB01137
DB00454	DB00999
DB00454	DB00577
DB00454	DB00586
DB00454	DB00580
DB00454	DB00993
DB00454	DB01327
DB00454	DB00335
DB00454	DB00967
DB00454	DB00531
DB00454	DB00343
DB00454	DB00757
DB00454	DB01162
DB00454	DB00661
DB00454	DB00630
DB00454	DB00787
DB00454	DB00512
DB00454	DB00598
DB00454	DB00673
DB00454	DB00836
DB00454	DB00624
DB00454	DB00231
DB00454	DB00563
DB00454	DB01036
DB00454	DB01076
DB00454	DB00381
DB00454	DB00203
DB00454	DB00338
DB00454	DB00627
DB00454	DB00927
DB00454	DB00962
DB00454	DB00698
DB00454	DB01129
DB00454	DB00327
DB00454	DB00285
DB00454	DB01273
DB00454	DB00654
DB00454	DB00916
DB00454	DB00537
DB00454	DB00741
DB00454	DB00829
DB00454	DB00533
DB00454	DB00193
DB00454	DB01156
DB00454	DB00818
DB00454	DB00884
DB00454	DB00842
DB00454	DB00851
DB00454	DB00230
DB00454	DB00844
DB00454	DB00497
DB00454	DB00811
DB00454	DB00652
DB00454	DB01083
DB00454	DB00196
DB00454	DB00445
DB00454	DB00620
DB00454	DB00564
DB00454	DB00959
DB00454	DB01050
DB00454	DB00465
DB00454	DB01215
DB00454	DB00727
DB00454	DB00402
DB00454	DB00425
DB00454	DB01202
DB00454	DB00745
DB00454	DB00303
DB00454	DB00407
DB00454	DB00377
DB00454	DB01229
DB00454	DB00297
DB00454	DB01222
DB00454	DB00199
DB00454	DB00281
DB00454	DB00330
DB00454	DB01211
DB00454	DB00557
DB00454	DB00603
DB00454	DB00690
DB00454	DB00214
DB00454	DB00207
DB00454	DB00570
DB00454	DB00773
DB00454	DB00734
DB00454	DB00611
DB00454	DB00461
DB00454	DB00313
DB00454	DB00541
DB00454	DB00887
DB00454	DB01136
DB00454	DB00443
DB00454	DB01044
DB00454	DB00813
DB00454	DB00482
DB00454	DB01079
DB00454	DB00567
DB00454	DB00749
DB00454	DB01062
DB00454	DB00669
DB00454	DB00881
DB00454	DB00186
DB00454	DB00184
DB00454	DB00490
DB00454	DB00524
DB00454	DB00332
DB00454	DB00334
DB00454	DB01069
DB00454	DB00175
DB00454	DB00973
DB00454	DB00395
DB00454	DB00158
DB00454	DB01132
DB00454	DB00938
DB00454	DB00448
DB00454	DB01097
DB00454	DB01068
DB00454	DB00136
DB00454	DB00399
DB00454	DB00331
DB00454	DB00423
DB00454	DB06151
DB00454	DB00950
DB00454	DB01104
DB00454	DB00758
DB00454	DB00390
DB00454	DB00177
DB00454	DB01039
DB00454	DB00722
DB00454	DB00958
DB00454	DB00776
DB00454	DB00328
DB00454	DB00897
DB00454	DB00264
DB00454	DB01001
DB00454	DB01142
DB00454	DB00404
DB00454	DB00641
DB00454	DB00215
DB00454	DB01611
DB00454	DB00468
