Drug1,Drug2,Label
DB00860,DB03754,3
DB00588,DB01370,3
DB00860,DB09104,3
DB01130,DB06724,3
DB00588,DB06723,3
DB00635,DB13595,3
DB08970,DB09281,3
DB00741,DB03754,3
DB01047,DB09281,3
DB01377,DB11921,3
DB00959,DB06723,3
DB00764,DB01390,3
DB00394,DB09281,3
DB01377,DB04574,3
DB01370,DB09095,3
DB00253,DB09275,3
DB01370,DB09091,3
DB00443,DB09104,3
DB00596,DB13595,3
DB00663,DB06724,3
DB00591,DB13595,3
DB00687,DB03754,3
DB01390,DB08905,3
DB00240,DB09281,3
DB00547,DB06724,3
DB01390,DB08906,3
DB01047,DB06724,3
DB03754,DB13158,3
DB00959,DB09275,3
DB00741,DB13595,3
DB00223,DB09275,3
DB00288,DB01390,3
DB01377,DB02187,3
DB00253,DB06723,3
DB01410,DB09281,3
DB00896,DB13595,3
DB09095,DB09104,3
DB09091,DB09104,3
DB00896,DB06724,3
DB00394,DB08938,3
DB00764,DB08938,3
DB01234,DB03754,3
DB00591,DB09104,3
DB00596,DB09104,3
DB00635,DB03754,3
DB00443,DB13595,3
DB00620,DB08938,3
DB01260,DB06724,3
DB06724,DB13158,3
DB00223,DB03754,3
DB06786,DB13595,3
DB06781,DB13595,3
DB06723,DB11921,3
DB00223,DB06723,3
DB09275,DB11921,3
DB00655,DB06723,3
DB00180,DB09104,3
DB01130,DB01370,3
DB00860,DB01390,3
DB01708,DB06723,3
DB00588,DB01377,3
DB03754,DB06781,3
DB00620,DB09104,3
DB06724,DB08905,3
DB00741,DB09104,3
DB00180,DB01377,3
DB01384,DB09275,3
DB01380,DB09275,3
DB00547,DB01370,3
DB08905,DB09104,3
DB08906,DB09104,3
DB00596,DB09275,3
DB00896,DB01370,3
DB08971,DB09281,3
DB01390,DB06781,3
DB00635,DB01377,3
DB00443,DB06724,3
DB00253,DB03754,3
DB00860,DB08938,3
DB06724,DB11921,3
DB04574,DB06724,3
DB00288,DB01377,3
DB00547,DB08938,3
DB01234,DB01377,3
DB01222,DB09281,3
DB08906,DB08938,3
DB08905,DB08938,3
DB01260,DB01370,3
DB00896,DB03754,3
DB00959,DB03754,3
DB00180,DB09275,3
DB01130,DB13595,3
DB01047,DB08938,3
DB00324,DB09281,3
DB09091,DB09275,3
DB09095,DB09275,3
DB01130,DB09281,3
DB00663,DB13595,3
DB00223,DB01370,3
DB00687,DB06723,3
DB00591,DB09275,3
DB06786,DB09281,3
DB00860,DB06723,3
DB00324,DB09275,3
DB01377,DB09091,3
DB06781,DB09281,3
DB00635,DB01390,3
DB00223,DB01390,3
DB08938,DB08971,3
DB06723,DB13158,3
DB00180,DB01390,3
DB09091,DB09281,3
DB09095,DB09281,3
DB00591,DB06724,3
DB00596,DB06724,3
DB01380,DB09104,3
DB01384,DB09104,3
DB01377,DB06786,3
DB01260,DB09281,3
DB00394,DB06724,3
DB00896,DB08938,3
DB00591,DB06723,3
DB00547,DB01377,3
DB00596,DB06723,3
DB00588,DB09281,3
DB01370,DB11921,3
DB00846,DB13595,3
DB00253,DB09104,3
DB00687,DB06724,3
DB00240,DB13595,3
DB04574,DB08938,3
DB06786,DB08938,3
DB06781,DB08938,3
DB01390,DB11921,3
DB01377,DB08970,3
DB01234,DB06724,3
DB00324,DB06724,3
DB01047,DB01370,3
DB00588,DB08938,3
DB00860,DB01370,3
DB00663,DB06723,3
DB00959,DB09104,3
DB00896,DB09104,3
DB00873,DB06724,3
DB00591,DB01370,3
DB00596,DB01370,3
DB00655,DB09104,3
DB01377,DB01708,3
DB00873,DB09104,3
DB00324,DB03754,3
DB00620,DB13595,3
DB08970,DB09275,3
DB08971,DB09275,3
DB01047,DB01390,3
DB01130,DB01390,3
DB00288,DB03754,3
DB01377,DB08905,3
DB01377,DB08906,3
DB01380,DB08938,3
DB00764,DB06723,3
DB01384,DB08938,3
DB00240,DB09275,3
DB01260,DB01377,3
DB01708,DB09281,3
DB00655,DB06724,3
DB02187,DB08938,3
DB00288,DB01370,3
DB00324,DB01370,3
DB01370,DB13158,3
DB00253,DB09281,3
DB01390,DB02187,3
DB00394,DB09275,3
DB01380,DB09281,3
DB00896,DB06723,3
DB01384,DB09281,3
DB00620,DB09275,3
DB01222,DB01370,3
DB01222,DB01390,3
DB00838,DB13595,3
DB01380,DB01390,3
DB01384,DB01390,3
DB00959,DB09281,3
DB00253,DB01390,3
DB00764,DB09275,3
DB00288,DB13595,3
DB01013,DB08938,3
DB00223,DB09281,3
DB00620,DB03754,3
DB00588,DB09104,3
DB00655,DB09281,3
DB00394,DB06723,3
DB09281,DB13158,3
DB00635,DB08938,3
DB00959,DB01390,3
DB00547,DB06723,3
DB01047,DB09275,3
DB01047,DB01377,3
DB00620,DB06723,3
DB00838,DB06724,3
DB00635,DB09104,3
DB00223,DB09104,3
DB01013,DB01377,3
DB00443,DB08938,3
DB00635,DB06723,3
DB00846,DB01377,3
DB01234,DB09104,3
DB00959,DB13595,3
DB00838,DB09104,3
DB00959,DB01370,3
DB00240,DB03754,3
DB00873,DB08938,3
DB01013,DB01370,3
DB02187,DB06723,3
DB01222,DB08938,3
DB01222,DB01377,3
DB02187,DB09104,3
DB01013,DB06724,3
DB00655,DB01377,3
DB01234,DB08938,3
DB00846,DB09275,3
DB00663,DB09275,3
DB00764,DB03754,3
DB00655,DB13595,3
DB00394,DB01370,3
DB00253,DB01370,3
DB00687,DB09281,3
DB01130,DB09275,3
DB00663,DB09281,3
DB00873,DB06723,3
DB03754,DB08970,3
DB00588,DB03754,3
DB00443,DB09275,3
DB00741,DB01390,3
DB02187,DB09275,3
DB00764,DB06724,3
DB00620,DB01390,3
DB00588,DB01390,3
DB04574,DB06723,3
DB00180,DB09281,3
DB00547,DB09104,3
DB01708,DB06724,3
DB00663,DB03754,3
DB01013,DB09104,3
DB01047,DB03754,3
DB01410,DB09275,3
DB00223,DB13595,3
DB00860,DB09281,3
DB00443,DB01390,3
DB00240,DB01377,3
DB00873,DB13595,3
DB00324,DB01377,3
DB00741,DB08938,3
DB09281,DB11921,3
DB00180,DB08938,3
DB01260,DB01390,3
DB08970,DB13595,3
DB08971,DB13595,3
DB01390,DB13158,3
DB00288,DB09104,3
DB00687,DB01377,3
DB01260,DB13595,3
DB01013,DB13595,3
DB00838,DB08938,3
DB00896,DB09275,3
DB11921,DB13595,3
DB00588,DB06724,3
DB06723,DB06786,3
DB06781,DB09275,3
DB01410,DB06724,3
DB06786,DB09275,3
DB06723,DB06781,3
DB00846,DB01390,3
DB00240,DB08938,3
DB08905,DB13595,3
DB00860,DB06724,3
DB00764,DB09104,3
DB01130,DB03754,3
DB00394,DB01377,3
DB00764,DB09281,3
DB00860,DB01377,3
DB01260,DB09104,3
DB00846,DB09104,3
DB00443,DB03754,3
DB00591,DB01390,3
DB00846,DB08938,3
DB08906,DB09275,3
DB08905,DB09275,3
DB00687,DB01370,3
DB02187,DB03754,3
DB08971,DB09104,3
DB08970,DB09104,3
DB06724,DB09091,3
DB00180,DB06724,3
DB01370,DB02187,3
DB00663,DB01390,3
DB00375,DB01118,3
DB01013,DB06723,3
DB03754,DB06786,3
DB00547,DB01390,3
DB01410,DB03754,3
DB01380,DB06723,3
DB00240,DB06724,3
DB01384,DB06723,3
DB08938,DB11921,3
DB01260,DB08938,3
DB00764,DB13595,3
DB00846,DB03754,3
DB01390,DB01410,3
DB01708,DB09275,3
DB00873,DB09275,3
DB00687,DB13595,3
DB01234,DB01370,3
DB01234,DB01390,3
DB00288,DB09281,3
DB01384,DB03754,3
DB01380,DB03754,3
DB00846,DB06723,3
DB00288,DB06724,3
DB00896,DB01390,3
DB00240,DB01390,3
DB02187,DB09281,3
DB01708,DB03754,3
DB03754,DB11921,3
DB00547,DB13595,3
DB01047,DB09104,3
DB00838,DB06723,3
DB00547,DB09281,3
DB00655,DB03754,3
DB01410,DB08938,3
DB03754,DB04574,3
DB00620,DB09281,3
DB00394,DB01390,3
DB01222,DB13595,3
DB01384,DB13595,3
DB01380,DB13595,3
DB00324,DB13595,3
DB04574,DB09281,3
DB01130,DB01377,3
DB00896,DB09281,3
DB00288,DB08938,3
DB00324,DB08938,3
DB06723,DB08906,3
DB01708,DB13595,3
DB01130,DB08938,3
DB06781,DB09104,3
DB00959,DB08938,3
DB06786,DB09104,3
DB01234,DB06723,3
DB01222,DB09104,3
DB01390,DB09091,3
DB01390,DB09095,3
DB09104,DB13158,3
DB01222,DB09275,3
DB00443,DB06723,3
DB01370,DB01380,3
DB01390,DB04574,3
DB01370,DB01384,3
DB09095,DB13595,3
DB01377,DB08971,3
DB09091,DB13595,3
DB01390,DB01708,3
DB01370,DB01410,3
DB02187,DB13595,3
DB04574,DB09104,3
DB00873,DB03754,3
DB00663,DB01370,3
DB06724,DB08906,3
DB00687,DB08938,3
DB00873,DB09281,3
DB00635,DB01370,3
DB00180,DB03754,3
DB00288,DB09275,3
DB00663,DB01377,3
DB01370,DB08971,3
DB01708,DB09104,3
DB00655,DB09275,3
DB01370,DB01708,3
DB06723,DB09091,3
DB00240,DB01370,3
DB00838,DB09275,3
DB00240,DB09104,3
DB03754,DB08906,3
DB03754,DB08905,3
DB00180,DB01370,3
DB00741,DB06723,3
DB00596,DB03754,3
DB00591,DB03754,3
DB00180,DB06723,3
DB01047,DB06723,3
DB00596,DB01390,3
DB00394,DB13595,3
DB06724,DB09095,3
DB06724,DB06781,3
DB00588,DB13595,3
DB06724,DB06786,3
DB01410,DB09104,3
DB02187,DB06724,3
DB00324,DB01390,3
DB01370,DB08906,3
DB01370,DB08905,3
DB00741,DB01370,3
DB00443,DB01377,3
DB01013,DB09275,3
DB00240,DB06723,3
DB01377,DB01380,3
DB00547,DB09275,3
DB00860,DB13595,3
DB00253,DB01377,3
DB00687,DB09104,3
DB00180,DB13595,3
DB00687,DB01390,3
DB00764,DB01377,3
DB01222,DB03754,3
DB01370,DB06786,3
DB00655,DB08938,3
DB01370,DB06781,3
DB01708,DB08938,3
DB01260,DB09275,3
DB01013,DB01390,3
DB08938,DB08970,3
DB00959,DB01377,3
DB00959,DB06724,3
DB00896,DB01377,3
DB00596,DB01377,3
DB06723,DB09095,3
DB06723,DB08905,3
DB00253,DB08938,3
DB00873,DB01390,3
DB03754,DB08971,3
DB01390,DB06786,3
DB01370,DB04574,3
DB09104,DB11921,3
DB09275,DB13158,3
DB00635,DB06724,3
DB00873,DB01377,3
DB13158,DB13595,3
DB01260,DB06723,3
DB00620,DB01377,3
DB00741,DB01377,3
DB01013,DB09281,3
DB01377,DB06781,3
DB06723,DB08971,3
DB06723,DB08970,3
DB00223,DB08938,3
DB00443,DB01370,3
DB00838,DB01370,3
DB00655,DB01390,3
DB01234,DB09281,3
DB00655,DB01370,3
DB01410,DB06723,3
DB01390,DB08970,3
DB01390,DB08971,3
DB01013,DB03754,3
DB00687,DB09275,3
DB01377,DB13158,3
DB00547,DB03754,3
DB00394,DB03754,3
DB00838,DB03754,3
DB00620,DB01370,3
DB00860,DB09275,3
DB04574,DB13595,3
DB00288,DB06723,3
DB00838,DB09281,3
DB00324,DB06723,3
DB00588,DB09275,3
DB00335,DB00415,3
DB00741,DB09275,3
DB00741,DB06724,3
DB01130,DB06723,3
DB01370,DB08970,3
DB00620,DB06724,3
DB01260,DB03754,3
DB01410,DB13595,3
DB01130,DB09104,3
DB08906,DB13595,3
DB00635,DB09281,3
DB00741,DB09281,3
DB01377,DB09095,3
DB03754,DB09091,3
DB01234,DB13595,3
DB03754,DB09095,3
DB00394,DB09104,3
DB00846,DB09281,3
DB00838,DB01390,3
DB00591,DB09281,3
DB00596,DB09281,3
DB00223,DB01377,3
DB06724,DB08970,3
DB06724,DB08971,3
DB00764,DB01370,3
DB01377,DB01384,3
DB00324,DB09104,3
DB00443,DB09281,3
DB08938,DB13158,3
DB00253,DB13595,3
DB08938,DB09091,3
DB01047,DB13595,3
DB08938,DB09095,3
DB01377,DB01410,3
DB00838,DB01377,3
DB01222,DB06723,3
DB00663,DB08938,3
DB00591,DB01377,3
DB01234,DB09275,3
DB00223,DB06724,3
DB01222,DB06724,3
DB00846,DB01370,3
DB08906,DB09281,3
DB00663,DB09104,3
DB08905,DB09281,3
DB01380,DB06724,3
DB01384,DB06724,3
DB00873,DB01370,3
DB00253,DB06724,3
DB00591,DB08938,3
DB00596,DB08938,3
DB00846,DB06724,3
DB00615,DB01435,4
DB00199,DB00252,4
DB00615,DB00869,4
DB01154,DB09227,4
DB01045,DB06736,4
DB00615,DB00865,4
DB01320,DB06770,4
DB01320,DB06772,4
DB01320,DB06777,4
DB00615,DB00862,4
DB00252,DB08877,4
DB00564,DB08906,4
DB00607,DB00622,4
DB01320,DB01621,4
DB00564,DB12483,4
DB00495,DB00794,4
DB00496,DB00794,4
DB00497,DB00794,4
DB00835,DB01174,4
DB01045,DB06737,4
DB00836,DB01174,4
DB01045,DB06403,4
DB00498,DB00794,4
DB00499,DB00794,4
DB00312,DB00755,4
DB00238,DB01349,4
DB00656,DB00794,4
DB01045,DB08439,4
DB01174,DB01409,4
DB00655,DB00794,4
DB00794,DB01708,4
DB01201,DB11614,4
DB00997,DB01201,4
DB00991,DB01201,4
DB00312,DB06770,4
DB00193,DB00312,4
DB00153,DB00238,4
DB00808,DB01320,4
DB00564,DB00655,4
DB01045,DB01551,4
DB00564,DB00656,4
DB00312,DB09236,4
DB00312,DB00448,4
DB00199,DB00312,4
DB00312,DB06772,4
DB01045,DB01558,4
DB01045,DB01559,4
DB00564,DB06772,4
DB01045,DB08828,4
DB00607,DB01244,4
DB00673,DB00812,4
DB00238,DB08918,4
DB00849,DB00924,4
DB00312,DB04946,4
DB00091,DB01351,4
DB00904,DB01174,4
DB00907,DB01174,4
DB00906,DB01174,4
DB00794,DB01221,4
DB00312,DB01062,4
DB00252,DB00759,4
DB01045,DB01708,4
DB01045,DB06282,4
DB00418,DB01259,4
DB00564,DB01177,4
DB01045,DB08910,4
DB00794,DB00843,4
DB01008,DB01201,4
DB01009,DB01201,4
DB01201,DB09297,4
DB00312,DB11613,4
DB01002,DB01201,4
DB00252,DB00481,4
DB01006,DB01201,4
DB00794,DB09230,4
DB00682,DB01220,4
DB00238,DB01006,4
DB01320,DB01349,4
DB00794,DB08992,4
DB00540,DB01351,4
DB00165,DB00849,4
DB00252,DB00567,4
DB00543,DB01351,4
DB00673,DB06737,4
DB00673,DB06736,4
DB00559,DB01076,4
DB00188,DB00418,4
DB00316,DB01154,4
DB00564,DB00842,4
DB01045,DB01392,4
DB01151,DB01351,4
DB00091,DB00418,4
DB01045,DB01396,4
DB00418,DB00544,4
DB00615,DB01194,4
DB00418,DB00549,4
DB00418,DB00936,4
DB00252,DB08893,4
DB00312,DB04743,4
DB00177,DB00252,4
DB00474,DB09289,4
DB00794,DB06708,4
DB00312,DB00531,4
DB01045,DB01173,4
DB00503,DB00564,4
DB00502,DB00564,4
DB00607,DB09090,4
DB01201,DB01708,4
DB00238,DB01200,4
DB01136,DB01201,4
DB00987,DB01320,4
DB00980,DB01320,4
DB01131,DB01201,4
DB01132,DB01201,4
DB00983,DB01320,4
DB00238,DB00332,4
DB00490,DB00794,4
DB01174,DB01435,4
DB01138,DB01201,4
DB00312,DB00906,4
DB00252,DB06145,4
DB00252,DB06144,4
DB00328,DB00418,4
DB00418,DB01544,4
DB00327,DB00418,4
DB01174,DB01183,4
DB00321,DB00418,4
DB00674,DB09280,4
DB00564,DB01431,4
DB00615,DB08877,4
DB00564,DB01435,4
DB00224,DB00312,4
DB00227,DB00312,4
DB01045,DB01085,4
DB00312,DB00997,4
DB00220,DB00312,4
DB00433,DB00564,4
DB00418,DB00916,4
DB00564,DB01218,4
DB00564,DB01219,4
DB00312,DB09227,4
DB00193,DB01201,4
DB00794,DB01065,4
DB00199,DB01201,4
DB00564,DB01215,4
DB00356,DB01201,4
DB00794,DB00812,4
DB00347,DB00564,4
DB00346,DB00564,4
DB00344,DB00564,4
DB00794,DB00818,4
DB00238,DB01114,4
DB00349,DB00564,4
DB00794,DB09289,4
DB00238,DB01110,4
DB00359,DB01201,4
DB00358,DB01201,4
DB01002,DB01320,4
DB00794,DB06725,4
DB01201,DB01222,4
DB00238,DB00425,4
DB01006,DB01320,4
DB00238,DB00420,4
DB01201,DB01227,4
DB00400,DB00890,4
DB01201,DB01229,4
DB00238,DB05351,4
DB01009,DB01320,4
DB00794,DB01075,4
DB00794,DB01074,4
DB00794,DB01076,4
DB00252,DB00757,4
DB00849,DB01220,4
DB00165,DB01351,4
DB00418,DB01124,4
DB00165,DB01355,4
DB00794,DB00977,4
DB00252,DB00724,4
DB01355,DB07615,4
DB00794,DB01431,4
DB00312,DB09078,4
DB00252,DB00794,4
DB00794,DB00799,4
DB00252,DB00796,4
DB00361,DB00564,4
DB01201,DB09026,4
DB00615,DB01095,4
DB00589,DB01174,4
DB00588,DB01174,4
DB00238,DB01431,4
DB00234,DB01174,4
DB00615,DB00726,4
DB00418,DB00918,4
DB00231,DB01174,4
DB00240,DB09280,4
DB00564,DB06803,4
DB00250,DB00794,4
DB00227,DB00559,4
DB00584,DB01174,4
DB00246,DB09280,4
DB00238,DB01174,4
DB00238,DB01069,4
DB01045,DB01129,4
DB00615,DB01129,4
DB01045,DB06145,4
DB00794,DB05351,4
DB00184,DB00238,4
DB00165,DB00599,4
DB01179,DB01320,4
DB01045,DB04930,4
DB01177,DB01320,4
DB01201,DB13874,4
DB01175,DB01320,4
DB00615,DB09396,4
DB00238,DB01067,4
DB01171,DB01320,4
DB00238,DB01192,4
DB00252,DB00665,4
DB01174,DB04930,4
DB00418,DB01054,4
DB00312,DB06144,4
DB00312,DB06145,4
DB01174,DB04938,4
DB00794,DB00936,4
DB00316,DB00474,4
DB00332,DB01045,4
DB00622,DB01045,4
DB00337,DB01045,4
DB00624,DB01045,4
DB00312,DB00440,4
DB01050,DB01174,4
DB00628,DB01045,4
DB01174,DB01588,4
DB01054,DB01174,4
DB00238,DB01229,4
DB00238,DB09262,4
DB00778,DB01201,4
DB00312,DB09101,4
DB08868,DB09280,4
DB00615,DB00617,4
DB01154,DB01418,4
DB00238,DB01062,4
DB00612,DB00615,4
DB00238,DB06267,4
DB00238,DB00637,4
DB00238,DB00636,4
DB00794,DB01151,4
DB00564,DB00753,4
DB01201,DB01319,4
DB00177,DB01201,4
DB00794,DB01283,4
DB00175,DB01201,4
DB00615,DB01128,4
DB00599,DB01151,4
DB00400,DB00783,4
DB00751,DB01320,4
DB00615,DB01236,4
DB00753,DB01320,4
DB00755,DB01320,4
DB00252,DB00925,4
DB00757,DB01320,4
DB01320,DB11828,4
DB00759,DB01320,4
DB01248,DB01320,4
DB00794,DB06145,4
DB00252,DB00924,4
DB00759,DB01045,4
DB00615,DB01587,4
DB00252,DB00575,4
DB00252,DB00337,4
DB00184,DB00615,4
DB00185,DB00615,4
DB00252,DB00332,4
DB00938,DB01045,4
DB00180,DB00615,4
DB00248,DB01045,4
DB00794,DB04898,4
DB00246,DB01045,4
DB00245,DB01045,4
DB00936,DB01045,4
DB00312,DB01628,4
DB00240,DB01045,4
DB00612,DB01201,4
DB00613,DB01201,4
DB00617,DB01201,4
DB00794,DB09167,4
DB00615,DB01201,4
DB00794,DB05381,4
DB00238,DB00918,4
DB01201,DB11737,4
DB01174,DB01186,4
DB01174,DB01708,4
DB01174,DB01184,4
DB01201,DB01589,4
DB01215,DB09280,4
DB01216,DB09280,4
DB00502,DB00615,4
DB01219,DB09280,4
DB01201,DB01587,4
DB00177,DB00673,4
DB00252,DB00471,4
DB00252,DB01424,4
DB00248,DB00252,4
DB00784,DB01320,4
DB00615,DB01054,4
DB00312,DB01253,4
DB00240,DB00252,4
DB00246,DB00252,4
DB00297,DB00615,4
DB00294,DB00615,4
DB00245,DB00252,4
